Gene Symbol	DMSO_A	DMSO_B	DMSO_C	AZA_2h_A	AZA_2h_B	AZA_2h_C	AZA_48h_C	AZA_48h_B	AZA_48h_C			
Dusp2	26	24	32	38	39	62	30	55	88			
Gm22192	10	15	12	15	12	6	11	8	11			
Pigt	6211	6325	5649	6895	6953	6590	5626	6028	6784			
Gm25632	10	12	19	13	8	10	8	1	12			
Iftap	1017	1000	957	1119	920	925	804	837	939			
Gm13610	29	27	32	38	20	39	21	17	26			
Gm14317	0	0	0	0	0	0	2	0	0			
Gm20693	0	0	0	0	0	0	0	0	0			
Rag2	0	0	0	0	0	0	0	0	0			
Rag1	62	60	36	118	69	86	99	90	96			
Wfdc2	0	4	0	3	0	0	8	12	4			
Spint3	0	0	0	0	0	0	0	0	0			
Traf6	2492	2473	2218	2424	2470	2388	2300	2528	2698			
Wfdc6a	0	0	0	0	0	0	0	0	0			
Eppin	0	0	0	0	0	0	0	2	0			
Wfdc8	3	0	4	0	4	0	2	2	0			
Gm25512	0	0	0	0	0	0	0	0	0			
Astl	0	0	0	0	0	0	0	0	0			
Wfdc6b	0	0	0	0	2	0	0	0	0			
Gm24473	0	0	0	0	0	0	0	0	0			
Adra2b	0	0	0	2	4	2	0	8	6			
Wfdc16	0	0	0	0	0	0	0	0	0			
Gm11456	0	0	0	0	0	0	0	0	0			
Wfdc9	0	2	0	0	0	0	0	0	1			
Wfdc10	0	0	0	0	0	0	0	0	0			
Wfdc11	0	0	0	0	0	0	0	0	0			
Wfdc13	0	0	0	0	0	0	0	0	0			
Spint4	0	0	0	0	0	0	0	0	0			
Spint5	0	0	0	0	0	0	0	0	0			
Pomt1	1225	1338	1225	976	994	945	965	940	1130			
Gpat2	2077	1916	1879	1950	1927	1776	1905	2048	2443			
Wfdc3	18	11	6	17	13	14	14	21	4			
Fahd2a	407	382	379	459	416	328	307	334	388			
Uck1	2062	2201	1979	2618	2502	2352	1670	1846	2035			
Prr5l	0	8	0	0	0	0	4	2	0			
Gm13611	20	14	11	21	14	19	12	14	20			
Dnttip1	2203	2253	2004	2627	2506	2519	1678	2024	2109			
Gm13905	0	0	0	0	0	0	0	0	0			
Gm11457	124	117	113	91	68	77	80	84	104			
7SK	3	4	8	8	15	1	1	10	10			
Commd9	884	843	781	1135	1110	1102	698	755	873			
Ube2c	9797	10246	8783	9483	8800	8354	8295	8567	9382			
Ehmt1	5712	5864	5089	5742	5444	5479	4559	5082	5589			
Kcnip3	1553	1577	1413	1740	1545	1584	1706	2019	2320			
Tnnc2	0	0	0	0	2	8	1	2	4			
7SK	1	5	1	2	0	0	6	0	2			
Ldlrad3	1770	1904	1600	1520	1448	1578	1203	1209	1436			
Gm52974	1	1	3	4	3	0	2	1	6			
Gm13919	0	0	0	0	0	0	0	0	0			
Gm13920	0	0	0	0	0	0	0	0	0			
Gm38147	0	0	0	2	2	2	2	0	0			
Gm13921	0	2	2	0	0	0	2	0	0			
Gm37139	0	6	8	2	0	0	2	6	0			
Gm13866	0	0	0	0	0	0	0	0	0			
Snx21	656	687	616	881	789	728	595	706	678			
Swi5	6415	6392	5725	6828	5777	5941	4693	5132	5895			
Trim44	8045	7680	6953	7753	7404	7145	6907	7029	8615			
Gm13868	0	8	0	2	0	1	2	2	0			
Fjx1	549	536	450	712	618	573	652	579	627			
Acot8	636	654	580	628	659	630	578	635	687			
Zswim3	227	211	196	312	304	251	219	244	317			
Pamr1	12	8	8	12	12	7	8	15	22			
Pde1a	34	56	51	26	24	27	32	8	44			
Zswim1	1084	1098	1046	1503	1452	1356	956	1094	1132			
Gm13674	0	0	1	0	0	0	0	0	0			
Prdx6b	0	0	0	0	0	0	0	0	0			
Spata25	3	2	7	5	4	7	2	4	0			
Neurl2	207	182	186	147	138	171	86	140	155			
Arrdc1	109	75	85	134	86	74	148	177	127			
Prom2	6	11	18	16	15	11	22	32	28			
Gm14229	0	0	0	0	0	0	0	0	0			
Zmynd19	5567	5667	5220	6536	6087	6132	4299	4679	5129			
Dnajc10	4036	4036	3630	4278	3942	3668	4113	4351	5255			
Gm13752	0	0	1	0	0	0	2	0	2			
Zfp661	626	640	521	757	788	638	489	541	760			
Frzb	0	0	4	2	0	4	10	0	2			
Gm13687	0	0	0	0	0	0	0	0	0			
Dph7	892	946	773	1033	914	894	665	738	831			
Mrps5	3376	3257	3053	3501	3509	3521	2499	2729	2929			
Mrpl41	914	990	992	1355	1057	928	706	834	843			
Slc1a2	6932	7060	6259	5293	5736	5545	4934	5534	6384			
Mal	0	0	0	0	0	0	0	2	0			
Gm13872	8	9	2	1	2	2	1	0	1			
Gm22889	0	0	0	0	0	0	0	0	0			
Gm14245	1	0	1	0	0	0	0	0	0			
Gm14244	0	0	0	0	0	0	0	0	0			
Mall	0	0	0	0	0	0	0	0	4			
Ctsa	3951	4195	3612	3712	3610	3221	3650	3973	4386			
Nphp1	1571	1443	1308	1745	1766	1640	1186	1383	1582			
Mtln	511	696	431	730	625	571	419	445	429			
Pltp	355	357	322	328	312	315	411	420	437			
Nckap1	13801	13821	11902	12946	12611	12020	9894	10460	12093			
Bub1	5832	5812	5077	4643	4292	4379	4021	4132	5043			
Pcif1	5204	5002	4677	5470	5754	5188	3227	4032	3919			
Gm13689	3	4	6	11	2	2	2	9	4			
Gm24461	0	0	0	0	0	0	0	0	0			
Gm13688	7	24	6	13	6	8	8	7	11			
Dusp19	341	281	264	301	226	249	155	187	221			
Acoxl	2	0	0	0	0	2	0	0	0			
Gm23101	0	0	0	0	0	0	0	0	0			
Zfp335	2360	2344	2222	2536	2554	2495	1995	2296	2475			
Nup35	1400	1460	1272	1728	1492	1419	1136	1186	1404			
Zfp335os	207	172	182	330	280	274	134	135	155			
Golga2	3133	3263	2792	3034	3110	3127	2379	2760	3286			
Mir684-1	0	1	0	7	1	3	3	0	1			
Gm13690	2	1	0	0	0	0	0	0	0			
Gm25420	0	0	0	0	0	0	0	0	0			
Gm4735	37	45	34	31	35	17	29	43	36			
Gm22652	0	0	0	0	0	0	0	0	0			
Gm13700	0	0	0	0	0	1	0	1	0			
Gm13755	0	0	0	0	0	0	0	0	0			
Gm13756	0	0	0	0	0	0	0	0	0			
Gm23452	0	0	0	0	0	0	0	0	0			
5S_rRNA	0	0	0	0	0	0	0	0	0			
Zfp804a	0	0	0	0	0	0	0	2	0			
Gm13677	0	0	0	0	0	0	0	0	0			
A130030D18Rik	0	0	0	0	0	2	0	0	0			
Gm13675	1	0	0	0	0	0	2	1	0			
Gm13676	0	0	1	2	3	1	0	0	1			
Gm13678	0	0	0	0	0	0	0	0	0			
Pnpla7	467	473	486	463	481	438	370	454	526			
Mmp9	8	10	6	8	4	10	15	20	20			
Fsip2	0	0	0	0	0	0	0	0	0			
Gm28675	0	0	0	0	0	0	0	0	0			
Gm13680	40	55	46	48	51	49	52	37	69			
Gm13679	0	0	1	0	0	0	0	1	0			
Gm13682	0	0	0	0	0	0	0	0	0			
Gm13681	0	0	0	0	0	0	0	0	0			
Gm13683	0	0	0	0	0	0	0	0	0			
Gm13685	0	0	0	0	0	0	0	0	0			
Bcl2l11	1306	1264	1227	2022	2049	1877	1456	1529	1728			
Gm13370	2	0	0	3	0	12	1	1	0			
Gm13369	0	0	0	0	0	0	0	0	0			
Gm25518	0	0	0	0	0	0	0	0	0			
Gm24875	0	0	0	0	0	0	0	0	0			
Zc3h15	7229	7278	6515	6992	6652	6697	5611	5924	6996			
Gm13686	0	0	0	0	0	0	0	0	0			
Morrbid	2	0	2	2	4	0	3	15	8			
Gm14009	0	2	0	0	0	2	0	0	0			
Gm14010	0	0	0	0	0	0	0	0	0			
Gm29010	0	0	0	0	0	0	0	0	0			
Gm14006	0	0	0	0	0	0	0	0	0			
Gm14008	0	0	0	0	0	0	0	0	0			
Spdye4c	0	0	0	0	0	0	0	0	0			
Gm39929	6	4	4	9	5	5	4	8	5			
Gm14007	0	0	0	0	0	0	0	0	0			
Itgav	3897	4134	3558	3110	3043	2981	2805	3118	3861			
Gm13684	0	2	0	0	0	0	0	0	0			
Dnmt3l-ps1	0	0	0	0	0	0	0	0	0			
Fam171b	2452	2526	2088	2229	2155	2119	2117	2118	2646			
Zswim2	3	0	0	0	0	0	0	0	0			
Anapc1	14705	13697	12646	12620	12830	12242	10415	11165	12975			
Gm13698	0	0	0	0	0	0	0	0	0			
Mertk	30	46	50	35	37	46	52	37	66			
Gm14011	0	0	0	0	0	0	0	0	0			
Slc12a5	139	196	156	105	94	119	173	197	216			
Gm13693	0	0	0	0	0	0	0	0	0			
Ncoa5	5354	5294	4847	6238	5895	5574	4620	5009	5640			
Gm13695	0	0	0	0	0	0	0	0	0			
Tmem87b	1204	1152	977	1368	1274	1244	1112	1172	1406			
Fbln7	57	67	56	32	47	30	93	89	123			
Gm13696	0	0	0	0	0	0	0	0	0			
Zc3h8	644	553	513	524	551	519	404	383	452			
Gm14028	0	0	0	0	0	0	0	0	0			
4933427J07Rik	0	0	0	1	2	0	0	0	0			
Gm10762	540	501	556	643	690	630	391	510	527			
Zc3h6	404	437	357	292	336	284	297	346	366			
Gm14027	27	7	12	4	9	11	8	14	14			
Cd40	0	0	2	2	0	2	6	11	12			
Vinac1	11	7	18	11	13	9	6	4	19			
Gm14022	13	6	6	8	3	15	3	4	9			
1700025C18Rik	0	0	0	0	0	0	0	0	0			
Gm13694	0	0	0	0	0	0	0	0	0			
Ttl	2119	2339	1872	2662	2630	2589	1522	1604	1743			
Cdh22	621	807	638	566	543	550	518	683	747			
Gm14397	0	0	0	0	0	0	0	0	0			
Gm25569	0	0	0	0	0	0	0	0	0			
Gm13697	0	0	0	0	0	0	0	0	0			
Polr1b	5056	4866	4163	4606	4641	4461	3811	4352	4948			
Gm13691	0	0	0	0	0	0	0	0	0			
Gm13692	0	0	0	0	0	0	0	0	0			
Gm13702	0	0	0	0	0	0	0	0	0			
Gm13711	0	0	0	0	0	0	0	0	0			
Chchd5	721	810	669	699	718	653	629	618	731			
AI847159	0	0	0	0	0	0	0	0	0			
Gm14026	4	9	4	5	4	3	4	10	7			
Gm14029	0	0	0	0	0	0	2	4	0			
Gm4430	28	34	26	39	46	22	37	32	38			
Gm4430	505	465	433	647	549	529	374	408	434			
Cd44	993	918	855	929	792	834	836	922	1165			
Gm23731	0	0	0	0	0	0	0	0	0			
Calcrl	1555	1523	1432	1347	1331	1133	780	900	992			
Slc20a1	3476	3316	2956	4117	4014	3901	2423	2772	3320			
Pdhx	2244	2180	1988	2648	2252	2310	1747	1914	1842			
9830144P21Rik	10	6	7	4	3	10	2	9	0			
A730036I17Rik	0	0	0	2	0	2	1	0	2			
Gm14024	0	0	0	0	0	0	0	0	0			
Apip	1121	1133	1005	1210	1093	1068	768	796	970			
Ckap2l	4609	4727	4421	4733	4489	4581	3426	3632	4216			
Gm10038	0	0	0	0	0	0	0	0	0			
Gm14023	9	17	5	13	9	19	12	12	9			
Gm13874	1	1	0	0	2	0	0	3	2			
Gm13869	0	0	0	0	2	2	4	2	0			
Gm13873	0	0	0	0	0	0	0	0	0			
Il1a	0	0	0	0	0	0	0	0	0			
Gm25703	0	0	0	0	0	0	0	0	0			
Gm14039	0	0	0	0	0	0	0	0	0			
Il1b	0	0	0	0	0	0	0	0	0			
Il1bos	0	0	0	0	0	0	0	0	0			
Spcs2-ps	2	1	2	2	2	2	2	6	8			
F830045P16Rik	0	2	0	2	0	0	0	0	0			
Gm14040	0	0	0	1	0	2	0	1	0			
Gm14041	0	0	0	0	0	0	0	0	0			
Slc35c2	3458	3465	3167	2625	2294	2350	2560	2688	3137			
Ehf	0	0	0	0	0	0	0	4	4			
A930006I01Rik	0	0	0	0	0	0	0	0	0			
Gm37220	0	0	0	0	0	0	0	0	0			
BC016548	0	0	0	0	0	0	0	0	0			
Tfpi	128	86	83	80	58	59	260	288	327			
Gm13710	4	6	0	0	5	2	0	2	0			
Gm52947	0	0	0	0	0	0	4	7	4			
Gm52948	2	2	1	5	2	15	1	1	4			
Elf5	0	4	0	0	0	4	0	2	2			
Cat	3284	3330	2881	3515	3215	2980	2598	2988	3401			
Gm13996	0	0	0	0	0	0	0	0	0			
Nsmf	3789	3929	3428	4573	4541	4459	3288	3526	4176			
Mir7664	4	2	0	5	4	7	3	5	10			
Abtb2	2205	2160	1939	2149	2147	2126	2001	2312	2514			
Sirpa	1534	1537	1528	1609	1411	1488	1335	1547	1783			
Pdyn	0	0	0	0	0	0	1	0	4			
Gm14046	4	2	2	0	0	7	0	0	0			
Entpd8	4	0	2	0	0	0	1	0	0			
Stk35	2201	2325	2034	2728	2874	2657	1729	1812	2102			
Gm28196	0	0	2	0	0	0	2	4	2			
Tgm3	56	44	51	31	37	18	57	24	34			
Mir6339	0	0	0	0	0	0	0	0	0			
Gm22424	0	0	0	0	0	0	0	0	0			
Gm24665	0	0	0	0	0	0	0	0	0			
Noxa1	0	0	0	0	0	0	0	0	0			
Gm53031	0	0	0	0	0	0	0	0	0			
Gm13387	0	0	2	2	0	0	2	0	6			
Nrarp	151	169	144	132	119	151	176	206	216			
Gm38287	0	0	0	3	1	0	0	2	0			
Tor4a	16	14	8	2	14	20	15	8	8			
Nat10	3243	2862	2661	3332	3345	3115	2345	2455	3030			
Dnm1	3050	3276	2823	2312	2236	2295	2116	2413	2814			
Nelfb	3436	3638	3113	3871	3675	3466	2762	3067	3482			
Gm22572	0	0	0	0	0	0	0	0	0			
Mir3154	0	0	0	0	0	0	0	0	0			
Mir199b	0	0	0	0	0	0	0	0	0			
Stpg3	0	0	0	0	0	0	2	8	10			
Fam166a	4	2	5	4	6	2	5	2	3			
Tubb4b	11377	11937	11277	14331	13164	13082	10256	11560	12553			
Caprin1	37772	37170	33261	37082	34671	34287	29156	31081	36099			
Slc34a3	0	0	6	4	6	6	8	8	4			
4930547E08Rik	0	0	0	0	0	0	0	0	0			
Gm13878	0	0	0	0	0	0	0	0	0			
Gm13880	0	0	0	0	0	0	0	1	0			
Gm13877	0	0	0	0	0	0	0	0	0			
Rnf224	2	0	0	0	0	0	0	0	0			
Gm13875	0	0	0	0	0	0	0	0	0			
Gm13879	0	0	0	0	0	0	0	0	0			
Gm13876	0	0	0	0	0	0	0	0	0			
Gm13881	0	0	0	0	1	0	0	0	6			
Cysrt1	1	0	0	7	0	1	8	0	1			
Rnf208	376	398	329	309	329	264	407	373	501			
Ndor1	0	0	0	0	0	0	0	0	0			
Lmo2	370	377	343	556	474	411	396	438	490			
4931422A03Rik	2	1	0	4	2	3	1	0	3			
Ciz1	3183	2986	2711	3009	3132	2867	2317	2516	3144			
Elmo2	12208	13167	11631	9381	8553	8993	7662	8887	10399			
Bbln	617	575	619	969	872	793	570	743	687			
Ndor1	479	482	464	666	575	560	353	359	498			
Ndor1	0	0	0	0	0	0	0	0	0			
Tmem203	441	434	360	451	430	353	308	367	334			
Zfp663	12	16	12	4	5	8	12	14	8			
Lcn2	0	0	0	1	0	0	0	0	0			
Zfp334	2668	2710	2499	3413	3467	3136	2285	2629	3007			
Tprn	4804	4962	4708	5890	5873	5665	4565	4672	5044			
Ocstamp	0	0	0	0	0	0	0	2	0			
Ssna1	2276	2403	2084	2345	2257	2207	1552	1849	1964			
Ptges2	770	779	803	1031	1072	912	734	839	842			
Gm13413	1	4	3	0	2	2	0	2	3			
Anapc2	5321	5351	4903	5270	5107	4804	3814	3899	4743			
Slc13a3	0	0	0	2	0	4	4	0	6			
Gm14437	0	0	0	0	0	0	0	0	0			
Tmem210	0	0	0	0	0	0	2	5	0			
Trp53rka	1451	1485	1195	1746	1597	1481	1089	1241	1314			
Lrrc26	2	8	10	4	8	4	2	2	2			
Slc2a10	0	0	0	0	2	0	4	11	20			
Ebf4	168	197	154	194	190	190	204	196	230			
Fbxo3	3461	3594	3218	3888	3691	3418	2929	3085	3550			
Gm14044	0	7	2	0	0	0	3	0	1			
Gm24644	3	4	7	2	3	2	3	0	5			
Gm10912	4	0	0	0	0	0	0	0	0			
Gm10799	0	0	0	0	0	0	0	0	0			
Cpxm1	210	217	169	185	179	211	260	249	249			
Gm14042	0	0	0	0	0	0	0	0	0			
Gm28372	0	0	0	0	0	0	0	0	0			
Cd59b	0	0	0	0	4	0	0	6	4			
1700020A23Rik	0	0	0	0	0	0	0	0	0			
Tmem239	0	0	0	0	0	0	0	0	0			
Cd59a	4	2	0	2	2	3	2	2	2			
A930018P22Rik	0	0	10	0	0	0	2	0	0			
Pced1a	1718	1661	1540	1643	1554	1470	1291	1353	1637			
Eya2	138	96	93	157	128	144	108	148	153			
Gm28163	0	0	0	0	0	0	0	0	0			
Gm11460	3	4	0	2	2	0	3	5	5			
Slc25a25	1323	1323	1070	1641	1583	1453	1080	1210	1204			
Naif1	375	449	386	448	416	459	326	353	410			
Gm37169	0	0	0	0	0	0	0	0	0			
Gm13412	0	0	0	0	0	0	0	0	0			
D430041D05Rik	16023	15833	14737	15253	16132	15299	8008	9844	10521			
Gm22501	0	0	1	0	2	2	0	0	0			
Gm13883	125	125	104	146	160	155	115	127	136			
5S_rRNA	0	0	0	0	0	0	0	0	0			
Fam102a	547	631	466	683	700	573	601	611	737			
Gm13882	2	0	2	8	4	4	4	4	2			
Dpm2	1186	1304	1125	1572	1453	1371	914	1029	1142			
9430097D07Rik	2	2	2	6	8	0	2	2	4			
Vps16	5089	4814	4508	4937	4801	4687	4011	4359	5110			
Pip5kl1	3	8	16	4	1	16	20	14	28			
St6galnac4	1540	1611	1327	1099	1110	1181	1261	1342	1557			
Gm23369	0	0	0	0	0	0	0	0	0			
Hipk3	2202	2210	2067	2509	2434	2297	1487	1644	1885			
Mir1902	0	0	0	0	0	0	0	0	0			
Gm13870	0	0	0	0	0	0	0	0	0			
Gm13884	0	0	0	0	0	0	0	0	0			
Platr14	16	4	22	8	17	15	195	228	301			
Gm22439	0	0	0	0	0	0	0	0	0			
Gm13885	0	0	0	0	0	0	0	0	0			
Zmynd8	9896	10075	9023	8917	8888	8760	7898	8606	9813			
BC046401	0	2	0	0	0	0	0	0	0			
Gm11465	2	0	0	1	6	4	0	0	0			
Gm11461	2	0	0	0	0	0	0	0	0			
Gm11462	0	0	0	0	0	0	0	0	0			
Platr29	0	0	0	0	0	0	0	0	0			
Gm11464	1	2	0	2	8	0	2	0	4			
Cstf3	3800	3691	3312	3657	3222	3172	2992	3001	3843			
Ptpra	6555	6713	6047	6605	6222	5868	4683	5380	6082			
Tcp11l1	833	934	785	1144	1046	979	692	793	935			
Pin1rt1	4	6	0	0	0	1	5	0	0			
9530056E24Rik	0	2	2	8	2	4	4	4	4			
4930473A02Rik	12	13	10	13	8	14	1	12	17			
Depdc7	333	290	207	381	214	305	230	314	345			
Mrps26	1808	1836	1716	2355	2037	1839	1436	1560	1704			
St6galnac6	1353	1230	1114	1063	994	1001	939	975	1230			
Oxt	0	0	0	4	2	2	0	2	10			
Avp	0	0	0	0	0	0	0	0	4			
Ubox5	835	830	621	901	972	1014	629	707	764			
Fastkd5	337	327	270	420	372	417	268	290	342			
Qser1	5671	5243	5018	5383	5534	5292	4174	4549	5533			
Ncoa3	2025	1944	1826	2246	2098	1899	1711	1806	2164			
Gm13886	3	0	2	9	2	2	8	2	2			
Lzts3	1264	1376	1176	1172	1342	1278	917	1037	1204			
Prrg4	38	42	45	29	50	32	65	50	75			
Ak1	170	202	164	173	187	195	264	342	327			
Ddrgk1	2498	2479	2341	2968	2717	2814	2312	2595	2902			
Itpa	4135	4079	3750	5123	4809	4853	3309	3669	3950			
Ccdc73	42	14	13	31	28	30	31	45	49			
Sulf2	1200	1245	1174	1160	1234	1260	1247	1367	1679			
Gm13887	0	0	0	0	0	0	0	0	0			
5S_rRNA	0	0	0	0	0	0	0	0	0			
Gm11466	0	0	0	0	0	0	0	0	0			
Gm11467	0	0	0	0	0	0	0	0	0			
Gm11468	2	0	0	0	0	0	4	0	0			
Gm14268	0	0	0	0	0	0	0	0	0			
Slc4a11	44	44	26	52	40	63	70	102	118			
5031425F14Rik	0	0	0	0	0	0	0	0	0			
7SK	0	0	0	0	0	0	0	0	0			
Gm14267	0	2	0	6	6	0	0	2	8			
Eng	2	2	2	12	4	4	8	15	12			
Mir1954	0	0	0	0	0	0	0	0	0			
Eif3m	6588	6891	5971	8024	7140	6808	5572	5633	6596			
Gm26236	0	0	0	0	0	0	0	0	0			
Gm13888	0	0	0	0	0	0	0	0	0			
Wt1os	0	0	0	2	0	0	0	0	0			
Gm11060	0	0	0	0	0	0	0	0	0			
Fpgs	1569	1542	1557	1994	1781	1672	1252	1278	1476			
Mir8093	0	0	0	0	0	0	0	0	0			
Cdk9	4463	4290	3969	4772	4729	4500	3601	4001	4365			
Mir2861	0	0	0	0	0	0	0	0	0			
Mir3960	0	0	0	0	0	0	0	0	0			
Prex1	3590	3675	3245	3865	4005	3908	3523	4186	4631			
Grin1	136	124	143	204	195	140	130	136	199			
5S_rRNA	0	0	0	0	0	0	0	0	0			
7SK	0	0	0	0	0	0	0	0	0			
U6	0	0	0	0	0	0	0	0	0			
Dnaaf9	1676	1537	1460	1451	1250	1302	1317	1519	1726			
Trp53rkb	553	514	448	626	495	601	371	432	433			
Grin1os	0	0	4	2	0	0	0	2	1			
Gm14057	20	28	14	21	11	3	15	22	16			
Wt1	0	0	0	0	0	0	2	2	0			
A730017L22Rik	213	208	189	321	342	291	170	202	194			
Gm14048	6	11	10	11	6	13	2	6	8			
Sh2d3c	416	407	371	402	345	320	341	428	445			
Them7	0	0	0	0	0	0	0	0	0			
6330409D20Rik	2	10	7	4	2	0	10	5	7			
Arfgef2	2089	1984	1927	2547	2700	2699	1852	2021	2134			
Rcn1	3825	3930	3554	3901	3456	3670	3941	4030	4846			
Man1b1	4647	4429	4126	4973	4676	4683	3606	4046	4455			
4930527A07Rik	0	0	0	0	0	0	0	0	0			
U6	0	0	2	2	1	0	3	3	0			
Pax6os1	3	5	4	17	7	6	6	9	1			
Gm13890	1	0	0	0	0	0	0	0	0			
Rpl10-ps1	1	0	0	4	0	4	2	6	4			
Paupar	6	6	4	2	6	12	2	6	8			
Dpp7	720	680	724	745	727	754	650	741	942			
Atrn	2715	2722	2487	2848	2951	2892	2175	2566	2793			
Gm14049	0	0	0	1	0	4	0	0	0			
Cse1l	16955	16469	14788	16551	15752	15166	13331	14175	16700			
Gm17096	18	21	18	13	26	7	17	21	35			
Uap1l1	425	396	463	431	415	370	541	642	625			
Ttc16	14	22	14	27	14	22	25	12	26			
Gfra4	362	334	365	323	325	295	355	295	349			
Mir6973b	0	0	0	0	0	0	0	0	0			
Sapcd2	2569	2683	2371	2720	2512	2384	2066	2341	2490			
Tor2a	1708	1747	1615	1837	1729	1665	1344	1380	1653			
Ptrh1	113	123	131	195	180	167	149	205	172			
Cfap157	6	2	18	12	2	8	2	9	6			
Entpd2	995	955	843	930	833	795	769	838	861			
Stau1	5790	5536	5037	5998	5569	5547	4423	4787	5371			
Gm11470	4	20	6	12	4	7	10	9	4			
Npdc1	5224	5111	4914	5997	5676	5489	4073	4513	4832			
Fut7	4	4	12	10	12	6	8	14	14			
Ddx27	7753	7755	6980	7873	8013	7742	6084	6578	7242			
Stxbp1	4219	4096	3688	3768	3537	3592	3423	3699	4173			
Gm24165	0	0	0	0	0	0	0	0	0			
Gm13524	4	10	0	11	4	11	0	5	11			
Gm13523	1	6	0	2	11	4	0	2	6			
Niban2	1523	1479	1225	1440	1499	1423	1299	1400	1558			
Znfx1	1708	1732	1560	1963	2046	1835	1626	1814	2274			
Adam33	6	4	2	4	4	6	8	7	6			
Abca2	3313	3137	2899	3076	3326	3156	2939	3476	3843			
Zfas1	2404	2453	2136	2522	2162	2131	2342	2789	3163			
Gm25878	0	0	0	0	0	0	0	0	0			
Gm23201	49	48	55	34	33	29	54	45	94			
Snord12	0	0	0	0	0	0	0	0	0			
Gm11472	0	0	1	0	0	0	0	0	0			
Gm11471	0	0	0	0	0	0	0	0	0			
Mir3087	0	0	0	0	0	0	0	0	0			
Kcnb1	664	784	685	782	829	810	550	540	677			
1110018N20Rik	54	36	55	23	34	35	40	36	29			
Ptgis	8	4	4	1	7	0	2	6	4			
Paxx	235	284	247	378	332	308	237	260	291			
Gm14291	0	0	0	0	0	0	0	0	0			
Siglec1	2	0	0	0	0	2	0	0	0			
Gm11473	0	0	0	0	0	0	0	0	0			
Lrsam1	852	793	749	765	799	773	647	746	823			
B4galt5	1539	1612	1460	1681	1829	1696	1374	1433	1773			
Rpl12	37891	38824	34963	45766	38723	38020	34385	38721	40305			
Snora65	0	0	0	0	0	0	0	0	0			
Hspa12b	2	2	0	0	4	0	0	0	2			
Clic3	0	0	2	0	0	1	0	2	2			
Gm11037	0	0	0	0	0	0	0	0	0			
Slc2a8	648	724	657	536	523	528	583	729	804			
1700037H04Rik	1740	1767	1595	1823	1656	1746	1542	1517	1734			
Gm14232	0	3	2	1	12	3	2	4	8			
Pax6	2053	2015	1874	1951	1932	1797	1590	1629	1842			
Ptgds	65	51	54	45	75	56	96	116	138			
Spef1	830	878	716	851	707	772	859	857	1019			
Cenpb	13140	12703	12026	14401	14489	14446	9901	10656	11240			
Elp4	1213	1274	1133	1274	1205	1299	825	946	986			
Gm13954	1	0	0	0	0	0	0	0	0			
Lcn12	0	0	0	1	0	0	0	0	0			
Immp1l	904	1022	929	1265	982	900	749	845	898			
Dnajc24	562	602	542	625	539	613	468	477	588			
Slc9a8	2285	2146	1911	2841	2885	2559	1978	1992	2419			
C8g	80	68	60	55	77	71	75	56	72			
5S_rRNA	0	0	0	0	0	0	0	0	0			
Dcdc5	8	6	5	8	4	8	3	9	24			
Gm13992	0	0	0	0	0	0	0	0	0			
Gm29053	0	0	0	0	0	0	0	0	0			
Gm14013	0	0	0	0	0	0	0	0	0			
Gm14015	0	0	0	0	4	0	0	0	0			
Gm14014	0	0	0	0	0	0	0	0	0			
Spata2	5788	5753	5367	6934	6897	6601	4513	5179	5172			
BB218582	0	0	0	0	0	0	0	0	0			
Cdc25b	8187	8191	7444	6903	6802	6817	6409	6937	7663			
Fbxw5	2340	2241	1975	2675	2818	2737	1727	2012	2197			
Rnf114	5285	5278	4609	6295	5901	5639	4263	4839	5108			
Gm11474	0	0	0	1	0	0	1	1	0			
Snai1	39	67	42	28	56	35	54	62	106			
Gm11476	38	34	26	25	33	23	42	47	66			
Gm11475	0	2	2	0	0	0	0	0	0			
Mpped2	130	170	94	115	115	119	97	131	148			
Gm22813	0	0	0	0	0	0	0	0	0			
Gm13901	0	0	0	0	0	0	0	0	0			
Gm13902	0	0	0	0	0	0	0	0	0			
Ube2v1	38	13	22	22	25	20	23	18	25			
Arl14ep	3578	3391	3125	3527	3501	3362	2505	2669	3156			
Gm20431	0	0	0	0	0	0	0	0	0			
Gm13900	0	0	0	0	0	0	0	0	0			
Gm13904	0	0	0	1	0	0	0	0	0			
Fshb	0	0	0	0	0	0	0	0	0			
Gm24885	0	0	0	0	0	0	0	0	0			
Gm13903	0	0	0	0	0	0	0	0	0			
Kcna4	0	0	0	0	0	0	0	0	0			
Gm9864	1	0	3	0	4	5	67	36	22			
Tmem189	980	961	933	1046	1054	938	903	1027	1170			
Gm23439	0	0	0	0	0	0	0	0	0			
Gm23749	0	0	0	0	0	0	0	0	0			
Gm13912	0	0	0	0	0	0	0	0	0			
Gm13916	0	0	0	0	0	0	0	0	0			
Gm14320	0	3	1	0	1	0	0	0	0			
Gm13915	0	0	1	0	0	0	0	0	0			
Gm13913	0	0	0	0	0	0	0	0	0			
Garnl3	954	905	807	962	869	915	497	593	704			
Cebpb	274	354	323	521	417	348	613	648	712			
Gm13914	0	0	0	0	0	0	0	0	0			
Rpl35a-ps4	12	22	14	6	10	12	8	11	22			
Hadhb-ps	5	11	10	22	14	10	6	6	6			
Gm13923	0	0	0	0	0	0	0	0	0			
A530013C23Rik	0	0	0	0	2	2	0	0	1			
